1,2,3,4,5,6,7,8,9,10
Z. Charbonnet,Z. White,R. Shaheed,Z. White,R. Shaheed,R. Shaheed,Z. Charbonnet,Z. White,C. Kmet,C. Hubbard
RB - SEA,RB - LV,WR - NO,RB - LV,WR - NO,WR - NO,RB - SEA,RB - LV,TE - CHI,RB - CAR
13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
M. Stafford,K. Miller,D. Wicks,L. Musgrave,K. Cousins,M. Mayer,J. Dotson,J. Jeudy,K. Cousins,M. Stafford
QB - LAR,RB - NO,WR - GB,TE - GB,QB - ATL,TE - LV,WR - WAS,WR - CLE,QB - ATL,QB - LAR
1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
J. Chase,J. Chase,J. Chase,J. Jefferson,J. Chase,J. Chase,J. Chase,A. St. Brown,B. Robinson,J. Chase
WR - CIN,WR - CIN,WR - CIN,WR - MIN,WR - CIN,WR - CIN,WR - CIN,WR - DET,RB - ATL,WR - CIN
2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
K. Williams,D. Adams,J. Allen,J. Taylor,N. Collins,K. Williams,J. Allen,D. Moore,D. Adams,J. Taylor
RB - LAR,WR - LV,QB - BUF,RB - IND,WR - HOU,RB - LAR,QB - BUF,WR - CHI,WR - LV,RB - IND
3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
T. Dell,J. Waddle,T. Kelce,S. Barkley,J. Allen,M. Evans,R. Rice,S. Barkley,S. Barkley,S. Diggs
WR - HOU,WR - MIA,TE - KC,RB - PHI,QB - BUF,WR - TB,WR - KC,RB - PHI,RB - PHI,WR - HOU
4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
D. Metcalf,J. Hurts,D. Smith,S. LaPorta,M. Nabers,S. LaPorta,S. LaPorta,D. London,J. Hurts,D. Metcalf
WR - SEA,QB - PHI,WR - PHI,TE - DET,WR -,TE - DET,TE - DET,WR - ATL,QB - PHI,WR - SEA
5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
Z. Flowers,T. McBride,A. Cooper,P. Mahomes,C. Kupp,L. Jackson,Z. Flowers,L. Jackson,C. Ridley,P. Mahomes
WR - BAL,TE - ARI,WR - CLE,QB - KC,WR - LAR,QB - BAL,WR - BAL,QB - BAL,WR - TEN,QB - KC
6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
A. Jones,J. Reed,C. Kirk,K. Walker,J. Conner,C. Kirk,J. Conner,T. McLaurin,K. Walker,K. Walker
RB - MIN,WR - GB,WR - JAX,RB - SEA,RB - ARI,WR - JAX,RB - ARI,WR - WAS,RB - SEA,RB - SEA
7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
C. Stroud,D. Montgomery,A. Kamara,J. Smith-Njigba,M. Brown,M. Brown,J. Smith-Njigba,D. Hopkins,M. Brown,A. Kamara
QB - HOU,RB - DET,RB - NO,WR - SEA,WR - KC,WR - KC,WR - SEA,WR - TEN,WR - KC,RB - NO
8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
J. Smith-Njigba,T. Pollard,D. Montgomery,M. Brown,C. Watson,R. Stevenson,N. Harris,G. Kittle,K. Pitts,T. Spears
WR - SEA,RB - TEN,RB - DET,WR - KC,WR - GB,RB - NE,RB - PIT,TE - SF,TE - ATL,RB - TEN
9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
J. Meyers,J. Williams,D. Johnson,J. Mixon,J. Warren,J. Williams,A. Ekeler,A. Ekeler,N. Harris,J. Meyers
WR - LV,RB - DEN,WR - CAR,RB - HOU,RB - PIT,RB - DEN,RB - WAS,RB - WAS,RB - PIT,WR - LV
